"stable","prog","dead"
1,0,0
0.981108145996803,0.0173461132267427,0.00154574077645475
0.95496673036975,0.0400258199991159,0.00500744963113442
0.925708358645522,0.0643469732132945,0.00994466814118311
0.894648029312364,0.0891932406652828,0.0161587300223534
0.862531453937784,0.113952559306268,0.0235159867559483
0.829855862393804,0.138231062679409,0.0319130749267869
0.796980267517688,0.161755987176808,0.0412637453055037
0.764175713155288,0.18433172118047,0.0514925656642417
0.731652224092624,0.205816287337702,0.0625314885696739
0.699574935572727,0.226107248433121,0.0743178159941515
0.668074550384093,0.245132529245664,0.0867929203702421
0.637254545937628,0.262844046632475,0.0999014074298971
0.607196386557686,0.279213061362651,0.113590552079664
0.577963441603858,0.294226647890388,0.127809910505754
0.549604024450234,0.307884925637092,0.142511049912673
0.522153810520565,0.320198830639658,0.157647358839778
0.49563780178992,0.331188284455956,0.173173913754124
0.470071950229963,0.340880664282916,0.189047385487122
0.445464518159062,0.349309507729248,0.205225974111689
0.421817231052359,0.3565134047772,0.221669364170441
0.399126263399647,0.362535042192084,0.238338694408269
0.377383087943615,0.367420374339089,0.255196537717295
0.356575211441851,0.371217900455282,0.272206888102868
0.336686814950618,0.373978032775517,0.289335152273864
0.31769931287493,0.375752543080879,0.306548144044191
0.29959184224237,0.376594077589661,0.323814080167969
0.282341691554226,0.376555731885004,0.34110257656077
0.265924676954193,0.37569067893344,0.358384644112367
0.250315472199474,0.374051844307525,0.375632683493001
0.235487897928224,0.371691623562359,0.392820478509417
0.221415174924642,0.368661637386241,0.409923187689117
0.208070145440791,0.365012520690345,0.426917333868864
0.195425466107474,0.360793742250598,0.443780791641928
0.183453775529425,0.356053451888636,0.460492772581939
0.172127839293493,0.350838352493876,0.477033808212631
0.161420674807778,0.345193594457749,0.493385730734474
0.151305658123922,0.339162690322983,0.509531651553095
0.141756614665371,0.332787447652835,0.525455937681794
0.132747895584839,0.326107918302662,0.541144186112499
0.124254441299365,0.319162362433529,0.556583196267106
0.116251833597059,0.311987225748071,0.57176094065487
0.108716337572814,0.304617128555069,0.586666533872118
0.101624934528185,0.297084865383507,0.601290200088308
0.0949553468613495,0.289421413970719,0.615623239167932
0.088686055874707,0.281655952544169,0.629657991581124
0.0827963133390218,0.273815884403466,0.643387802257512
0.0772661475727237,0.265926868889366,0.65680698353791
0.0720763647222116,0.25801285790049,0.669910777377299
0.067208545862866,0.250096137186996,0.682695316950138
0.0626450404802872,0.242197371713942,0.695157587805771
0.0583689568364408,0.234335654446074,0.707295388717485
0.0543641496753807,0.226528557960715,0.719107292363904
0.0506152056775894,0.218792188346493,0.730592605975917
0.0471074270303234,0.211141240893339,0.741751332076338
0.0438268134433278,0.203589057123578,0.752584129433094
0.0407600429045732,0.196147682755402,0.763092274340025
0.0378944514389985,0.188827926228628,0.773277622332373
0.0352180121043508,0.18163941745872,0.783142570436929
0.0327193134318787,0.174590666518658,0.792690020049463
0.0303875374956487,0.167689121979541,0.80192334052481
0.0282124377724271,0.160941228670014,0.810846333557559
0.0261843169342256,0.154352484641715,0.819463198424059
0.0242940046975963,0.147927497153227,0.827778498149177
0.0225328358374253,0.141670037508402,0.835797126654173
0.020892628458189,0.13558309460672,0.843524276935091
0.0193656626022718,0.129668927083439,0.85096541031429
0.0179446592628849,0.123929113935935,0.85812622680118
0.0166227598582723,0.118364603549818,0.86501263659191
0.0153935062141335,0.112975761054222,0.871630732731644
0.0142508210924529,0.107762413950271,0.877986764957276
0.0131889892971085,0.102723895970015,0.884087114732877
0.012202639379668,0.0978590891353952,0.889938271484937
0.0112867259625876,0.0931664639978973,0.895546810039515
0.0104365126915497,0.088644118049692,0.900919369258758
0.00964755582383769,0.0842898123062358,0.906062631869927
0.00891568845540414,0.0801010060685652,0.910983305476031
0.00823700538557037,0.0760748898809579,0.915688104733472
0.00760784861508124,0.0722084167062632,0.920183734678656
0.00702479347044538,0.0684983313471054,0.924476875182449
0.00648463534511223,0.0649411981463549,0.928574166508533
0.00598437704601018,0.0615334270048166,0.932482195949173
0.00552121673226902,0.0582712977580215,0.936207485509709
0.00509253643154073,0.0551509829573894,0.93975648061107
0.0046958911181858,0.0521685691038741,0.94313553977794
0.00432899833667522,0.0493200763845741,0.946350925278751
0.00398972835285472,0.0466014769646965,0.949408794682449
0.00367609481519493,0.0440087118887631,0.952315193296042
0.00338624590779479,0.0415377066460546,0.955076047446151
0.00311845597669069,0.0391843854560546,0.957697158567255
0.00287111761094072,0.0369446843300872,0.960184198058972
0.0026427341599734,0.034814562965493,0.962542702874534
0.00243191266881559,0.032790015528561,0.964778071802623
0.00223735721301488,0.030867080382075,0.96689556240491
0.00205786261534502,0.0290418488127546,0.9689002885719
0.00189230852672284,0.0273104728130967,0.97079721866018
0.00173965385414365,0.0256691719711799,0.972591174174676
0.00159893151887514,0.0241142395209009,0.974286828960224
0.001469243528605,0.0226420476038823,0.975888708867513
0.00134975634773182,0.0212490517929496,0.977401191859319
0.0012396965504915,0.0199317949256347,0.978828508523874
0.00113834674213886,0.0186869102946468,0.980174742963214
0.0010450417339386,0.0175111242406537,0.981443834025408
0.000959164958258429,0.0164012581910846,0.982639576850657
0.00088014511060186,0.0153542301869722,0.983765624702426
0.00080745300595908,0.0143670559381461,0.984825491055895
0.000740598637393064,0.0134368494453516,0.985822551917255
0.000679128425309816,0.0125608232261295,0.986760048348561
0.00062262264638524,0.0117362881795467,0.987641089174068
0.000570693031634928,0.0109606531231364,0.988468653845229
0.000522980523615657,0.0102314240336813,0.989245595442703
0.000479153183235659,0.00954620302177855,0.989974643794986
